label	checkpoint	step	epoch	forget_qa_rouge	holdout_qa_rouge	mmlu_pro_400_acc	truthfulqa_bin_200_acc	arc_200_acc	winogrande_200_acc	utility_avg	utility_delta_vs_base
base_model_orig	base_model_orig	0	0.0			0.38	0.71	0.85	0.705	0.605	0.0
checkpoint-16	checkpoint-16	16	0.5245901639344263	0.15705394190871366	0.7807999999999999	0.38	0.695	0.84	0.695	0.598	-0.007000000000000006
checkpoint-32	checkpoint-32	32	1.0491803278688525	0.10146957123098202	0.8973333333333333	0.3525	0.665	0.83	0.665	0.573	-0.03200000000000003
checkpoint-48	checkpoint-48	48	1.5737704918032787	0.07866528354080221	0.9486666666666667	0.36	0.625	0.825	0.675	0.569	-0.03600000000000003
checkpoint-64	checkpoint-64	64	2.098360655737705	0.072216459197787	0.9476666666666667	0.3375	0.63	0.8	0.645	0.55	-0.05499999999999994
checkpoint-80	checkpoint-80	80	2.6229508196721314	0.053371369294605814	0.963	0.325	0.63	0.815	0.64	0.547	-0.05799999999999994
checkpoint-96	checkpoint-96	96	3.1475409836065573	0.0848893499308437	0.973	0.33	0.64	0.795	0.64	0.547	-0.05799999999999994
checkpoint-112	checkpoint-112	112	3.6721311475409837	0.05100276625172891	0.992	0.3175	0.66	0.81	0.645	0.55	-0.05499999999999994
checkpoint-128	checkpoint-128	128	4.19672131147541	0.04572959889349931	0.996	0.3175	0.655	0.81	0.66	0.552	-0.052999999999999936
checkpoint-144	checkpoint-144	144	4.721311475409836	0.04512448132780083	0.999	0.315	0.66	0.82	0.665	0.555	-0.04999999999999993
checkpoint-150	checkpoint-150	150	4.918032786885246	0.044778699861687414	0.995	0.3125	0.66	0.81	0.675	0.554	-0.050999999999999934
final	final	150	4.918032786885246	0.044778699861687414	0.995	0.3125	0.66	0.81	0.675	0.554	-0.050999999999999934
